id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
719623791595784437,Serviced apartment in Zürich · ★4.52 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Hochschulen,47.37548,8.5454,Entire home/apt,118,1,62,2023-05-20,4.17,10,0,37,
719870385842422507,Serviced apartment in Zürich · ★4.39 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Rathaus,47.37471,8.5451,Entire home/apt,118,1,57,2023-04-01,3.74,10,0,29,
720092458426634563,Rental unit in Zürich · ★4.86 · 2 bedrooms · 2 beds · 1 bath,23561865,Dimi,Kreis 3,Sihlfeld,47.3723789,8.519819499999999,Entire home/apt,208,2,29,2023-12-18,1.98,61,20,25,
721009515699681310,Serviced apartment in Zürich · ★4.80 · 1 bedroom · 1 bed · 1 bath,25291258,Delta Estates,Kreis 4,Hard,47.37606,8.51525,Entire home/apt,76,5,15,2023-12-04,1.02,38,301,11,
721563365436336385,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath,90668747,Nadine,Kreis 4,Hard,47.38386,8.50635,Entire home/apt,,2,13,2023-07-30,0.90,1,0,10,
721610415656222299,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,19677309,Seyran,Kreis 9,Altstetten,47.38972,8.49742,Entire home/apt,,5,2,2023-07-06,0.14,2,0,1,
721635695758807601,Rental unit in Zürich · 1 bedroom · 1 bed · 1 shared bath,19677309,Seyran,Kreis 9,Altstetten,47.38938,8.49717,Private room,98,14,2,2022-10-27,0.13,2,3,0,
722406234532861465,Bed and breakfast in Zürich · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,25022432,Jean,Kreis 11,Oerlikon,47.40366,8.55028,Private room,80,7,3,2023-03-27,0.21,1,3,1,
722414784205602391,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath,31322521,Nerina,Kreis 10,Höngg,47.40051,8.50822,Entire home/apt,99,2,3,2022-12-11,0.21,1,0,0,
722906283472212699,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,61750931,Damien,Kreis 11,Oerlikon,47.410116466453616,8.54179434478283,Entire home/apt,,35,1,2022-10-15,0.07,1,0,0,
723559163407903032,Rental unit in Zürich · ★4.93 · 1 bedroom · 1 bed · Shared half-bath,425570120,Ivan,Kreis 4,Hard,47.3768974,8.5144969,Private room,89,2,99,2023-12-19,7.05,1,158,80,
724460219492192816,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,51296651,Julia,Kreis 3,Sihlfeld,47.37185604931801,8.510933115691865,Entire home/apt,,1,0,,,1,365,0,
724587069311609903,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,418925854,Julia,Kreis 8,Seefeld,47.3583,8.55371,Entire home/apt,150,5,0,,,1,248,0,
725217606609059916,Townhouse in Zürich · ★4.50 · 3 bedrooms · 3 beds · 2 baths,461413048,Mohammed,Kreis 11,Affoltern,47.42343,8.49492,Entire home/apt,199,3,8,2023-09-01,0.57,2,306,6,
725249118903808110,Serviced apartment in Zürich · ★4.86 · 1 bedroom · 1 bed · 1 bath,203249525,Vanessa,Kreis 2,Wollishofen,47.3296,8.51744,Entire home/apt,139,3,28,2023-11-15,1.89,7,301,26,
725363995464372922,Home in Zürich · ★4.50 · 2 bedrooms · 3 beds · 1 bath,132766673,Bozena,Kreis 7,Witikon,47.35907333488794,8.596556335687637,Entire home/apt,,1,4,2022-11-28,0.27,1,0,0,
725797996385236322,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,19511339,Michael,Kreis 5,Escher Wyss,47.3905,8.51898,Entire home/apt,,4,2,2023-01-02,0.16,1,0,2,
726597781471413740,Serviced apartment in Zürich · ★4.95 · 1 bedroom · 1 bed · 1 bath,481508453,Dragesa,Kreis 9,Altstetten,47.391027575225706,8.478540144860744,Entire home/apt,155,2,61,2023-12-26,5.07,3,256,61,
727455697514640309,Serviced apartment in Zürich · ★3.75 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Rathaus,47.3757403,8.5444532,Entire home/apt,148,1,8,2023-03-12,0.53,10,0,5,
728869116969980712,Rental unit in Zürich · 2 bedrooms · 2 beds · 1 bath,481914769,Rafael Adolfo,Kreis 11,Seebach,47.42496449999999,8.5389824,Entire home/apt,150,1,1,2022-12-18,0.08,1,85,0,
730090478725919720,Serviced apartment in Zürich · Studio · 2 beds · 1 private bath,203249525,Vanessa,Kreis 2,Leimbach,47.3313,8.51612,Private room,169,3,2,2022-12-01,0.14,7,360,0,
730877118449017971,Rental unit in Zürich · ★5.0 · 1 bedroom · 4 beds · 1 bath,315216458,Janine,Kreis 3,Alt-Wiedikon,47.36937,8.51149,Entire home/apt,206,2,3,2023-12-03,0.21,1,83,1,
730936538597960705,Rental unit in Zürich · ★4.77 · 2 bedrooms · 2 beds · 1 bath,1229459,Swissstay,Kreis 8,Weinegg,47.36179,8.56007,Entire home/apt,167,2,13,2023-11-09,1.02,55,226,12,
731759565624441590,Condo in Zürich · ★4.82 · 1 bedroom · 1 bed · 1 bath,482489240,Yongli,Kreis 8,Seefeld,47.3607,8.54819,Entire home/apt,137,1,89,2023-12-08,6.43,1,77,82,
732397337945661542,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath,47628162,Aline,Kreis 4,Hard,47.3759,8.51685,Entire home/apt,180,5,4,2023-09-29,0.56,2,87,4,
733083863807725456,Condo in Zürich · ★4.57 · 1 bedroom · 1 bed · 2.5 baths,1873982,Laksiba,Kreis 5,Escher Wyss,47.39101,8.51155,Entire home/apt,213,1,14,2023-10-31,1.09,1,337,12,
